"station_id","stationame","month_beginning","avg_weekday_rides","avg_saturday_rides","avg_sunday_holiday_rides","monthtotal"
"41140","King Drive","2001-02-01T00:00:00.000","735.2","435","240.8","17406"
"40720","East 63rd-Cottage Grove","2001-02-01T00:00:00.000","1405.10","722.8","495.8","32976"
"40940","Halsted/63rd","2001-02-01T00:00:00.000","741.9","494.3","319.5","18093"
"40290","Ashland/63rd","2001-02-01T00:00:00.000","1770.40","943","686.8","41927"
"41290","Kimball","2001-02-01T00:00:00.000","4139.90","2143","1197","96157"
"41180","Kedzie-Brown","2001-02-01T00:00:00.000","1486.90","886.8","584.5","35622"
"40870","Francisco","2001-02-01T00:00:00.000","1078.80","426.5","231.3","24207"
"41010","Rockwell","2001-02-01T00:00:00.000","1279.80","496.8","309.3","28820"
"41480","Western-Brown","2001-02-01T00:00:00.000","3399.60","1604.80","920.8","78094"
"40090","Damen-Brown","2001-02-01T00:00:00.000","2095.40","962","556.3","47980"
"41500","Montrose-Brown","2001-02-01T00:00:00.000","2025.30","887.3","487.5","46004"
"41460","Irving Park-Brown","2001-02-01T00:00:00.000","2299.50","838.3","474.3","51239"
"41440","Addison-Brown","2001-02-01T00:00:00.000","1800.50","575.8","299.8","39512"
"41310","Paulina","2001-02-01T00:00:00.000","2021","876.5","569.5","46204"
"40360","Southport","2001-02-01T00:00:00.000","2608.60","945.8","548.8","58149"
"41210","Wellington","2001-02-01T00:00:00.000","2430.60","728.3","366.8","52992"
"40530","Diversey","2001-02-01T00:00:00.000","4270.70","1723.80","924.8","96008"
"40660","Armitage","2001-02-01T00:00:00.000","3394.60","942.5","477.5","73572"
"40800","Sedgwick","2001-02-01T00:00:00.000","2134.70","868.5","503","48179"
"40710","Chicago/Franklin","2001-02-01T00:00:00.000","4084.80","1404.50","668.8","89988"
"40460","Merchandise Mart","2001-02-01T00:00:00.000","6025","956","289","125479"
"40930","Midway Airport","2001-02-01T00:00:00.000","7702.50","2466.50","2075.30","172216"
"40960","Pulaski-Orange","2001-02-01T00:00:00.000","5335.40","1237","670.8","114338"
"41150","Kedzie-Midway","2001-02-01T00:00:00.000","2991.30","1087","611.3","66619"
"40310","Western-Orange","2001-02-01T00:00:00.000","3314.50","1007.30","561.5","72565"
"40120","35th/Archer","2001-02-01T00:00:00.000","2106.70","671.5","353","46232"
"41060","Ashland-Orange","2001-02-01T00:00:00.000","1316.30","531.8","311","29697"
"41130","Halsted-Orange","2001-02-01T00:00:00.000","2500.20","694.8","443.3","54555"
"40730","Washington/Wells","2001-02-01T00:00:00.000","7188.80","711.5","370.3","148103"
"40040","Quincy/Wells","2001-02-01T00:00:00.000","7766.40","911.8","523.8","161069"
"40160","LaSalle/Van Buren","2001-02-01T00:00:00.000","3603","272","128.3","73661"
"40850","Library","2001-02-01T00:00:00.000","2534.20","755","334.3","55040"
"40680","Adams/Wabash","2001-02-01T00:00:00.000","7185.70","2301.80","1141.80","157488"
"40640","Madison/Wabash","2001-02-01T00:00:00.000","3886.50","1237.30","466.5","84545"
"40200","Randolph/Wabash","2001-02-01T00:00:00.000","5695.20","1923","981.3","125521"
"40260","State/Lake","2001-02-01T00:00:00.000","8397.40","3733","2513.50","192934"
"40380","Clark/Lake","2001-02-01T00:00:00.000","15290.20","2425","1677.30","322212"
"40900","Howard","2001-03-01T00:00:00.000","6435.60","3975.40","2594","171836"
"41190","Jarvis","2001-03-01T00:00:00.000","1509","1110","762.5","41797"
"40100","Morse","2001-03-01T00:00:00.000","4521.90","3159.40","2229","124194"
"41300","Loyola","2001-03-01T00:00:00.000","4899.30","3447.60","2158.80","133657"
"40760","Granville","2001-03-01T00:00:00.000","3339.80","2398.60","1673.30","92161"
"40880","Thorndale","2001-03-01T00:00:00.000","3089.50","1887","1363.80","82860"
"41380","Bryn Mawr","2001-03-01T00:00:00.000","4580.60","2913.40","2061.50","123586"
"40340","Berwyn","2001-03-01T00:00:00.000","3402.80","2226.80","1579.30","92312"
"41200","Argyle","2001-03-01T00:00:00.000","2823.90","1905.20","1360.30","77093"
"40770","Lawrence","2001-03-01T00:00:00.000","2811.40","1976.60","1523.50","77828"
"40540","Wilson","2001-03-01T00:00:00.000","5427","3445","2106.80","145046"
"40080","Sheridan","2001-03-01T00:00:00.000","4511","2971.20","1802.30","121307"
"41420","Addison-North Main","2001-03-01T00:00:00.000","5102.20","3785.60","2336","140520"
"41320","Belmont-North Main","2001-03-01T00:00:00.000","9581.40","7888.80","4878","269746"
"41220","Fullerton","2001-03-01T00:00:00.000","9921.60","6034.60","3614","262905"
"40650","North/Clybourn","2001-03-01T00:00:00.000","3661.20","2882.60","1992.30","102929"
"40630","Clark/Division","2001-03-01T00:00:00.000","6902.90","5401","3623.80","193363"
"41450","Chicago/State","2001-03-01T00:00:00.000","12810.80","9963.80","6284","356793"
"40330","Grand/State","2001-03-01T00:00:00.000","8937.60","6631.60","4204.30","246602"
"41660","Lake/State","2001-03-01T00:00:00.000","13990.40","6586.80","4062","356970"
"40500","Washington/State","2001-03-01T00:00:00.000","7293.70","3003.60","1585.50","181822"
"41090","Monroe/State","2001-03-01T00:00:00.000","7587.10","3152.20","1492.80","188649"
"40560","Jackson/State","2001-03-01T00:00:00.000","11979.20","4664.80","2398","296458"
"41490","Harrison","2001-03-01T00:00:00.000","2874.80","1642.60","846.5","74845"
"41400","Roosevelt","2001-03-01T00:00:00.000","6143","3698.60","2757.80","164671"
"41000","Cermak-Chinatown","2001-03-01T00:00:00.000","2633.50","2649","1795","78362"
"40190","Sox-35th-Dan Ryan","2001-03-01T00:00:00.000","3588.50","2328.20","1610.80","97030"
"41230","47th-Dan Ryan","2001-03-01T00:00:00.000","2388.60","1691.60","1221.50","65894"
"41170","Garfield-Dan Ryan","2001-03-01T00:00:00.000","4753.20","3204.80","2019.50","128672"
"40910","63rd-Dan Ryan","2001-03-01T00:00:00.000","3701.50","2511.60","1933.50","101724"
"40990","69th","2001-03-01T00:00:00.000","6870","4546.40","3027.80","185984"
"40240","79th","2001-03-01T00:00:00.000","7446.40","4871.60","3328.80","201493"
"41430","87th","2001-03-01T00:00:00.000","5526.50","3465.60","2174.80","147611"
"40450","95th/Dan Ryan","2001-03-01T00:00:00.000","14521.90","7686.80","5239.80","378875"
"41050","Linden","2001-03-01T00:00:00.000","1094.50","491","265.8","27596"
"41250","Central-Evanston","2001-03-01T00:00:00.000","936.2","436","266.5","23843"
"40400","Noyes","2001-03-01T00:00:00.000","567.4","422.6","193","15367"
"40520","Foster","2001-03-01T00:00:00.000","661.3","377.6","215","17296"
